time_s,fps,process_ms,nodes,objects,orphans,missions,trade_missions,ships,workers
332.4,60.0,18.97,50,1977,2,0,0,3,15
333.4,60.0,18.06,50,1977,2,0,0,3,15
334.4,60.0,18.98,50,1977,2,0,0,3,15
335.4,60.0,18.29,50,1977,2,0,0,3,15
336.4,60.0,18.25,50,1977,2,0,0,3,15
337.4,60.0,18.14,50,1977,2,0,0,3,15
338.4,60.0,18.65,50,1977,2,0,0,3,15
339.4,60.0,18.28,50,1977,2,0,0,3,15
340.4,60.0,18.69,50,1977,2,0,0,3,15
341.4,60.0,18.91,50,1977,2,0,0,3,15
342.4,60.0,18.55,50,1977,2,0,0,3,15
343.4,60.0,18.51,50,1977,2,0,0,3,15
344.4,60.0,19.47,50,1977,2,0,0,3,15
345.4,60.0,18.56,50,1977,2,0,0,3,15
346.4,60.0,19.04,50,1977,2,0,0,3,15
347.4,60.0,19.43,50,1977,2,0,0,3,15
348.4,60.0,18.23,50,1977,2,0,0,3,15
349.4,59.0,31.31,50,1977,2,0,0,3,15
350.4,60.0,18.75,50,1977,2,0,0,3,15
351.4,60.0,18.70,50,1977,2,0,0,3,15
352.4,60.0,19.02,50,1977,2,0,0,3,15
353.4,60.0,18.80,50,1977,2,0,0,3,15
354.4,60.0,19.17,50,1977,2,0,0,3,15
355.4,60.0,18.40,50,1977,2,0,0,3,15
356.4,60.0,19.21,50,1977,2,0,0,3,15
357.4,60.0,18.22,50,1977,2,0,0,3,15
358.4,60.0,18.70,50,1977,2,0,0,3,15
359.4,60.0,18.09,50,1977,2,0,0,3,15
360.4,60.0,18.60,50,1977,2,0,0,3,15
361.4,60.0,18.27,50,1977,2,0,0,3,15
362.4,60.0,18.47,50,1977,2,0,0,3,15
363.4,60.0,18.50,50,1977,2,0,0,3,15
364.4,60.0,18.51,50,1977,2,0,0,3,15
365.4,60.0,19.29,50,1977,2,0,0,3,15
366.4,60.0,18.50,50,1977,2,0,0,3,15
367.4,60.0,18.16,50,1977,2,0,0,3,15
368.4,60.0,18.46,50,1977,2,0,0,3,15
369.4,60.0,19.06,50,1977,2,0,0,3,15
370.4,60.0,18.64,50,1977,2,0,0,3,15
371.4,60.0,17.90,50,1977,2,0,0,3,15
372.4,60.0,18.26,50,1977,2,0,0,3,15
373.4,60.0,18.17,50,1977,2,0,0,3,15
374.4,60.0,19.90,50,1977,2,0,0,3,15
375.4,60.0,18.36,50,1977,2,0,0,3,15
376.4,60.0,20.49,50,1977,2,0,0,3,15
